title,count,type
ZEN AND THE ART OF MOTORCYCLE MAINTENANCE,2,book
13 Million Dollar Pop,1,book
19 Purchase Street,1,book
1977 Baseball Abstract,1,book
1978 Baseball Abstract,1,book
1979 Baseball Abstract,1,book
1980 Baseball Abstract,1,book
1981 Baseball Abstract,1,book
1982 Baseball Abstract,1,book
1983 Baseball Abstract,1,book
1984 Baseball Abstract,1,book
1985 Baseball Abstract,1,book
1986 Baseball Abstract,1,book
1987 Baseball Abstract,1,book
1988 Baseball Abstract,1,book
1Q84,1,book
21 Lessons for the 21st Century,1,book
25 Women: Essays on Their Art,1,book
3 Nights in August,1,book
40 Stories,1,book
747,1,book
A Billion Wicked Thoughts,1,book
A Brief History of Everyone Who Ever Lived,1,book
A Brief History of Seven Killings,1,book
a gambler's anatomy,1,book
A Guide for Murdered Children,1,book
A Hologram For The King,1,book
A Legacy of Spies,1,book
A LIGHT THAT NEVER GOES OUT: THE ENDURING SAGA OF THE SMITHS,1,book
A Little Lumpen Novelita,1,book
A Man in Full,1,book
A Spy Among Friends,1,book
A Universe From Nothing,1,book
A Visit From The Goon Squad,1,book
A Wilderness of Error,1,book
Absurdistan,1,book
Affections,1,book
Aftermath,1,book
AIR GUITAR,1,book
All Kinds of Love,1,book
American Heiress,1,book
American Psycho,1,book
AN OBJECT OF BEAUTY,1,book
An Unsuitable Job for A Woman,1,book
Anatomy of a Soldier,1,book
Animal Spirits,1,book
ANOTHER INSANE DEVOTION,1,book
Apocalypse On the Set,1,book
APPETITE FOR SELF-DESTRUCTION,1,book
AREA 51: AN AUNCENSORED HISTORY OF AMERICA'S TOP SECRET MILITARY BASE,1,book
ARSENALS OF FOLLY,1,book
Assholes: A Theory,1,book
Astrophysics for People in a Hurry,1,book
At Home,1,book
At Last,1,book
Babylon,1,book
back,1,book
Back to Blood,1,book
Bad Blood: Secrets and Lies in a Silicon Valley Startup,1,book
Bad News,1,book
Beasts: What Animals Can Teach Us About the Origins of Good and Evil,1,book
beatlebone,1,book
BEAUTIFUL RUIN,1,book
Believing is Seeing,1,book
Between Me and the World,1,book
BIG DATA,1,book
black box thinking,1,book
BLACK LOS ANGELES: AMERICAN DREAMS AND RACIAL REALITIES,1,book
Book of Numbers,1,book
Boomerang,1,book
Bresson on Bresson: Interviews 1943-1983,1,book
Bring Up The Bodies,1,book
Built,1,book
butcher's crossing,1,book
C,1,book
Cat Sense,1,book
Catherine the Great,1,book
Caveat Emptor,1,book
Cherry,1,book
Choke,1,book
Citizen Vince,1,book
City of the Sun,1,book
"Classic Wiley: A Lifetime of Punches, Players, Punks, & Prophets",1,book
CLOUD ATLAS,1,book
COLLECTED STORIES,1,book
COLLOSSUS,1,book
COLUMBINE,1,book
Concluding,1,book
Confessions of Zeno,1,book
Convenience Store Woman,1,book
Conversations With Friends,1,book
CONVERSATIONS WITH MARLON BRANDO,1,book
CONVERSATIONS WITH ROBERT EVANS,1,book
Crudo,1,book
crunch time,1,book
DAVID AND GOLIATH,1,book
Dead Stars,1,book
Dead Wake,1,book
DEAR LIFE,1,book
